NAME,B01003_001E,B19013_001E,state,county,tract
Census Tract 1000.01; Harris County; Texas,5442,98668,48,201,100001
Census Tract 2104; Harris County; Texas,3908,44821,48,201,210400
Census Tract 2105; Harris County; Texas,4624,48837,48,201,210500
Census Tract 2106; Harris County; Texas,5355,82321,48,201,210600
Census Tract 2107; Harris County; Texas,2215,51966,48,201,210700
Census Tract 2108; Harris County; Texas,2087,39153,48,201,210800
Census Tract 2109; Harris County; Texas,1857,47117,48,201,210900
Census Tract 2110; Harris County; Texas,1853,31667,48,201,211000
Census Tract 2111.01; Harris County; Texas,2426,39120,48,201,211101
Census Tract 2111.02; Harris County; Texas,2297,27844,48,201,211102
Census Tract 2112; Harris County; Texas,2393,22982,48,201,211200
Census Tract 2113.01; Harris County; Texas,2733,40991,48,201,211301
Census Tract 2113.02; Harris County; Texas,2807,39871,48,201,211302
Census Tract 2114; Harris County; Texas,4226,74318,48,201,211400
Census Tract 2115.01; Harris County; Texas,3400,51979,48,201,211501
Census Tract 2115.02; Harris County; Texas,2613,54900,48,201,211502
Census Tract 2116; Harris County; Texas,2991,47143,48,201,211600
Census Tract 2117; Harris County; Texas,3530,32240,48,201,211700
Census Tract 2119; Harris County; Texas,4601,49050,48,201,211900
Census Tract 2123; Harris County; Texas,5128,62813,48,201,212300
Census Tract 2124; Harris County; Texas,3077,40516,48,201,212400
Census Tract 2125; Harris County; Texas,3495,54966,48,201,212500
Census Tract 2201; Harris County; Texas,1400,43583,48,201,220100
Census Tract 2202; Harris County; Texas,2345,45833,48,201,220200
Census Tract 2203; Harris County; Texas,3840,53792,48,201,220300
Census Tract 2204; Harris County; Texas,4544,50086,48,201,220400
Census Tract 2205; Harris County; Texas,3671,19877,48,201,220500
Census Tract 2206; Harris County; Texas,3252,36905,48,201,220600
Census Tract 2207.01; Harris County; Texas,3088,43889,48,201,220701
Census Tract 2207.02; Harris County; Texas,3560,31083,48,201,220702
Census Tract 2208; Harris County; Texas,3782,34512,48,201,220800
Census Tract 2209; Harris County; Texas,1836,22412,48,201,220900
Census Tract 2210; Harris County; Texas,3469,41985,48,201,221000
Census Tract 2211; Harris County; Texas,3464,56993,48,201,221100
Census Tract 2212; Harris County; Texas,5655,46832,48,201,221200
Census Tract 2213.01; Harris County; Texas,4057,66289,48,201,221301
Census Tract 2213.02; Harris County; Texas,3307,51221,48,201,221302
Census Tract 2214; Harris County; Texas,5588,33441,48,201,221400
Census Tract 2215.01; Harris County; Texas,5513,54070,48,201,221501
Census Tract 2215.02; Harris County; Texas,2920,32625,48,201,221502
Census Tract 2216.01; Harris County; Texas,3346,60380,48,201,221601
Census Tract 2216.02; Harris County; Texas,5349,63893,48,201,221602
Census Tract 2217.01; Harris County; Texas,5238,42078,48,201,221701
Census Tract 2217.02; Harris County; Texas,3031,36054,48,201,221702
Census Tract 2218; Harris County; Texas,3925,50945,48,201,221800
Census Tract 2219; Harris County; Texas,5267,59122,48,201,221900
Census Tract 2220; Harris County; Texas,2158,38281,48,201,222000
Census Tract 2221; Harris County; Texas,4865,41759,48,201,222100
Census Tract 2222; Harris County; Texas,3196,58024,48,201,222200
Census Tract 2223; Harris County; Texas,4987,38770,48,201,222300
Census Tract 2224.01; Harris County; Texas,3052,41125,48,201,222401
Census Tract 2224.02; Harris County; Texas,6837,41671,48,201,222402
Census Tract 2225.01; Harris County; Texas,3188,38333,48,201,222501
Census Tract 2225.02; Harris County; Texas,3825,52987,48,201,222502
Census Tract 2225.04; Harris County; Texas,3292,38977,48,201,222504
Census Tract 2225.05; Harris County; Texas,3239,70060,48,201,222505
Census Tract 2226.01; Harris County; Texas,2146,33689,48,201,222601
Census Tract 2226.02; Harris County; Texas,2329,29722,48,201,222602
Census Tract 2227.01; Harris County; Texas,2779,11592,48,201,222701
Census Tract 2227.02; Harris County; Texas,3828,26653,48,201,222702
Census Tract 2228; Harris County; Texas,4160,39241,48,201,222800
Census Tract 2229; Harris County; Texas,8286,53672,48,201,222900
Census Tract 2230.01; Harris County; Texas,3845,47768,48,201,223001
Census Tract 2230.02; Harris County; Texas,3073,40150,48,201,223002
Census Tract 2231; Harris County; Texas,2274,64655,48,201,223100
Census Tract 2301; Harris County; Texas,1661,50357,48,201,230100
Census Tract 2302; Harris County; Texas,4857,36609,48,201,230200
Census Tract 2303; Harris County; Texas,2085,43519,48,201,230300
Census Tract 2304; Harris County; Texas,4092,59688,48,201,230400
Census Tract 2305; Harris County; Texas,3487,37386,48,201,230500
Census Tract 2306; Harris County; Texas,2708,34145,48,201,230600
Census Tract 2307; Harris County; Texas,2934,36445,48,201,230700
Census Tract 2308; Harris County; Texas,2373,45260,48,201,230800
Census Tract 2309; Harris County; Texas,4409,30088,48,201,230900
Census Tract 2310; Harris County; Texas,5644,45050,48,201,231000
Census Tract 2311; Harris County; Texas,5521,31875,48,201,231100
Census Tract 2312; Harris County; Texas,5965,35199,48,201,231200
Census Tract 2313; Harris County; Texas,5171,48560,48,201,231300
Census Tract 2314; Harris County; Texas,3123,45479,48,201,231400
Census Tract 2315; Harris County; Texas,3047,50319,48,201,231500
Census Tract 2316; Harris County; Texas,3171,41760,48,201,231600
Census Tract 2317; Harris County; Texas,4517,41731,48,201,231700
Census Tract 2318; Harris County; Texas,3146,57198,48,201,231800
