route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name,scheduled_trips
Briargate,3,FFFFFF,004080,HOU,98,https://assets-cdn-prod.azureedge.us/assets/docs/default-source/bus-route-schedules/98-briargate-bus-route-schedule.pdf,,98,226.0
Ella - FM 1960,3,FFFFFF,004080,HOU,99,https://assets-cdn-prod.azureedge.us/assets/docs/default-source/bus-route-schedules/99-ella-fm-1960-bus-route-schedule.pdf,,99,414.0
Seton Lake P&R,3,FFFFFF,004080,HOU,212,https://assets-cdn-prod.azureedge.us/assets/docs/default-source/bus-route-schedules/212-seton-lake-park-and-ride-bus-route-schedule.pdf,,212,102.0
Clay - W. 43rd,3,FFFFFF,004080,HOU,23,https://assets-cdn-prod.azureedge.us/assets/docs/default-source/bus-route-schedules/23-clay-w-43rd-bus-route-schedule.pdf,,23,204.0
Cypress P&R,3,FFFFFF,004080,HOU,217,https://assets-cdn-prod.azureedge.us/assets/docs/default-source/bus-route-schedules/217-cypress-park-and-ride-bus-route-schedule.pdf,,217,184.0
Veterans Memorial,3,FFFFFF,004080,HOU,96,https://assets-cdn-prod.azureedge.us/assets/docs/default-source/bus-route-schedules/96-veterans-memorial-bus-route-schedule.pdf,,96,326.0
Cypress / NW Station / W L York P&R,3,FFFFFF,004080,HOU,219,https://assets-cdn-prod.azureedge.us/assets/docs/default-source/bus-route-schedules/219-cypress-northwest-station-west-littleyork-park-and-ride-bus-route-schedule.pdf,,219,204.0
Willowbend,3,FFFFFF,004080,HOU,10,https://assets-cdn-prod.azureedge.us/assets/docs/default-source/bus-route-schedules/10-willowbend-bus-route-schedule.pdf,,10,206.0
Almeda / Lyons,3,FFFFFF,004080,HOU,11,https://assets-cdn-prod.azureedge.us/assets/docs/default-source/bus-route-schedules/11-almeda-lyons-bus-route-schedule.pdf,,11,474.0
Hiram Clarke,3,FFFFFF,004080,HOU,14,https://assets-cdn-prod.azureedge.us/assets/docs/default-source/bus-route-schedules/14-hiram-clarke-bus-route-schedule.pdf,,14,720.0
Kuykendahl P&R,3,FFFFFF,004080,HOU,202,https://assets-cdn-prod.azureedge.us/assets/docs/default-source/bus-route-schedules/202-kuykendahl-park-and-ride-bus-route-schedule.pdf,,202,128.0
West Loop P&R,3,FFFFFF,004080,HOU,211,https://www.ridemetro.org/riding-metro/transit-services/park-and-ride-bus/route-details/211-west-loop-shuttle,,211,294.0
Northshore Express,3,FFFFFF,004080,HOU,137,https://assets-cdn-prod.azureedge.us/assets/docs/default-source/bus-route-schedules/137-northshore-express-bus-route-schedule.pdf,,137,820.0
Grand Parkway P&R,3,FFFFFF,004080,HOU,222,https://assets-cdn-prod.azureedge.us/assets/docs/default-source/bus-route-schedules/222-grand-parkway-park-and-ride-bus-route-schedule.pdf,,222,262.0
Acres Homes - curb2curb,3,FFFFFF,004080,HOU,344,https://assets-cdn-prod.azureedge.us/assets/docs/default-source/bus-route-schedules/344-acres-homes-curb2curb-bus-route-schedule.pdf,,344,
Kingsland P&R,3,FFFFFF,004080,HOU,221,https://assets-cdn-prod.azureedge.us/assets/docs/default-source/bus-route-schedules/221-kingsland-park-and-ride-bus-route-schedule.pdf,,221,118.0
