route_id,route_name,weekday_avg_boardings,weekday_boardings_per_revenue_hour,weekday_boardings_per_revenue_mile,saturday_avg_boardings,saturday_boardings_per_revenue_hour,saturday_boardings_per_revenue_mile,sunday_avg_boardings,sunday_boardings_per_revenue_hour,sunday_boardings_per_revenue_mile,month,source_pdf
2,Bellaire,7590,31.56,2.88,5995,30.6,2.71,4915,25.09,2.22,October 2024,RS17348_October 2024 ridership report
3,Langley / Little York,2262,18.62,1.42,1869,15.46,1.17,1437,11.89,0.9,October 2024,RS17348_October 2024 ridership report
4,Beechnut,8743,27.2,2.17,5462,23.09,1.69,4231,17.89,1.31,October 2024,RS17348_October 2024 ridership report
5,Southmore,1265,18.57,1.58,621,12.39,0.91,564,11.25,0.83,October 2024,RS17348_October 2024 ridership report
6,Jensen / Greens,3895,20.4,1.4,2661,19.4,1.26,2262,16.49,1.07,October 2024,RS17348_October 2024 ridership report
7,West Airport,946,27.37,2.04,494,14.64,1.1,397,11.77,0.88,October 2024,RS17348_October 2024 ridership report
8,West Bellfort,3391,35.41,2.7,2149,29.13,2.57,2014,27.29,2.41,October 2024,RS17348_October 2024 ridership report
9,Gulfton / Holman,2473,22.86,2.04,1639,18.04,1.37,1319,14.53,1.1,October 2024,RS17348_October 2024 ridership report
10,Willowbend,650,16.26,1.55,347,11.99,1.19,232,8.02,0.8,October 2024,RS17348_October 2024 ridership report
11,Almeda / Lyons,2345,17.21,1.35,1687,12.49,0.97,1389,10.29,0.8,October 2024,RS17348_October 2024 ridership report
14,Hiram Clarke,1598,21.99,1.82,1127,19.56,1.64,956,16.61,1.4,October 2024,RS17348_October 2024 ridership report
20,Canal / Memorial,2695,15.57,1.29,1669,13.8,1.06,1628,13.46,1.03,October 2024,RS17348_October 2024 ridership report
23,Clay - W 43rd,462,13.13,1.31,352,10.98,1.09,300,9.33,0.92,October 2024,RS17348_October 2024 ridership report
25,Richmond,7489,26.38,2.31,5318,23.39,2.04,4433,19.49,1.7,October 2024,RS17348_October 2024 ridership report
26,Long Point / Cavalcade,3753,18.59,1.45,2431,22.53,1.91,1946,18.03,1.53,October 2024,RS17348_October 2024 ridership report
27,Shepherd,2695,16.58,1.43,1581,21.51,1.65,1397,19.0,1.46,October 2024,RS17348_October 2024 ridership report
28,OST - Wayside,2889,24.12,2.4,1932,23.63,1.92,1730,21.16,1.72,October 2024,RS17348_October 2024 ridership report
29,Cullen / Hirsch,3474,22.15,1.67,2602,16.41,1.31,2231,14.07,1.12,October 2024,RS17348_October 2024 ridership report
30,Clinton / Ella,870,12.15,0.86,554,7.75,0.55,500,6.99,0.49,October 2024,RS17348_October 2024 ridership report
32,Renwick,1353,15.95,1.49,1080,13.38,1.19,890,11.02,0.98,October 2024,RS17348_October 2024 ridership report
35,San Felipe,511,14.31,1.5,340,9.55,1.0,335,9.41,0.99,October 2024,RS17348_October 2024 ridership report
36,Kempwood,3385,20.58,1.59,2445,15.86,1.2,2264,14.69,1.11,October 2024,RS17348_October 2024 ridership report
38,Manchester - Lawndale,139,8.57,0.72,115,8.07,0.68,82,5.76,0.49,October 2024,RS17348_October 2024 ridership report
39,Katy Freeway,280,9.01,0.59,218,7.61,0.5,170,5.93,0.39,October 2024,RS17348_October 2024 ridership report
40,Telephone / Heights,4236,20.61,1.65,2864,17.54,1.4,2494,15.27,1.22,October 2024,RS17348_October 2024 ridership report
41,Kirby / Polk,1304,14.34,1.32,842,9.26,0.85,883,9.71,0.9,October 2024,RS17348_October 2024 ridership report
44,Acres Homes,2614,15.49,1.11,2063,14.27,1.04,1569,10.85,0.79,October 2024,RS17348_October 2024 ridership report
45,Tidwell,4673,22.96,1.72,3039,27.93,1.93,2570,23.62,1.64,October 2024,RS17348_October 2024 ridership report
46,Gessner,7670,35.22,3.08,5665,29.23,2.39,4843,24.98,2.04,October 2024,RS17348_October 2024 ridership report
47,Hillcroft,3822,27.19,2.58,2242,31.55,2.38,1966,27.66,2.09,October 2024,RS17348_October 2024 ridership report
48,Market,492,13.82,1.33,336,9.44,0.91,258,7.24,0.7,October 2024,RS17348_October 2024 ridership report
49,Chimney Rock / S Post Oak,2893,22.6,1.87,2061,20.36,1.56,1617,15.98,1.22,October 2024,RS17348_October 2024 ridership report
50,Broadway,2348,20.0,1.69,1545,25.67,1.96,1366,22.7,1.73,October 2024,RS17348_October 2024 ridership report
51,Hardy - Kelley,754,14.27,1.42,438,9.73,0.84,387,8.58,0.74,October 2024,RS17348_October 2024 ridership report
52,Hardy /  Ley,1974,18.74,1.43,1423,14.92,1.05,1275,13.36,0.94,October 2024,RS17348_October 2024 ridership report
54,Scott,6075,28.66,2.36,4152,25.57,1.94,3428,21.11,1.6,October 2024,RS17348_October 2024 ridership report
56,Airline / Montrose,5411,19.18,1.61,4349,23.53,1.92,4214,22.8,1.86,October 2024,RS17348_October 2024 ridership report
