route_name,investment_priority,demand_score,route_equity_score,route_accessibility_score,rail_gap_score,population_served,investment_tier,recommended_investment
Harwin Express,0.6199288424282174,0.27616658388353027,0.18060789357760243,0.032917666705744544,13009.767022969656,3548012.0,High Priority,Rail / BRT Candidate
Westheimer,0.6011798157441967,0.7762632933786346,0.16969481756552918,0.04723894302180351,11465.913102399141,1088928.0,High Priority,Rail / BRT Candidate
Fondren,0.585410052773052,0.6713415132667115,0.16725392405148984,0.0,12460.784804922192,553884.0,High Priority,Rail / BRT Candidate
Gessner,0.5849722894358586,0.6691331921276803,0.12308366212349235,0.0,16261.835335012122,792716.0,High Priority,Rail / BRT Candidate
Hillcroft,0.5552180193888349,0.3902692807330207,0.204403933713816,0.0,10613.47550986699,1180520.0,High Priority,Rail / BRT Candidate
Bellaire,0.5398277740001759,0.6244190382586752,0.15312671833280175,0.0386848805543631,11786.259082410132,872866.0,High Priority,BRT Candidate
Richmond,0.5103314836064364,0.46589153148681406,0.15602750002719037,0.06769424106354005,8696.396673083931,1923344.0,High Priority,BRT Candidate
Bissonnet,0.4975517769743317,0.5237847998207164,0.1448084283125271,0.04764637614635333,10988.261221189368,997166.0,Moderate Priority,BRT Candidate
Harwin Express,0.4947928616687889,0.2246287550929942,0.19419096066613556,0.04129607175651446,9685.885977734326,1880068.0,Moderate Priority,BRT Candidate
Beechnut,0.49477320783314593,0.5237091074370454,0.12693216682282274,0.07198029382365007,10446.741051803294,1638134.0,Moderate Priority,BRT Candidate
FM 1960 / Imperial Valley,0.4941033853995071,0.28143286075538687,0.09906272550514315,0.0,22164.34501717702,984964.0,Moderate Priority,BRT Candidate
Antoine / Washington,0.4670744790181764,0.3912700070519411,0.10766078605487853,0.047842680398138784,9183.241946319058,1866776.0,Moderate Priority,BRT Candidate
Eldridge,0.4655639906777264,0.1348321128874735,0.12137240314933967,0.0,26386.13668760849,520892.0,Moderate Priority,BRT Candidate
Renwick,0.46111759718281303,0.15906553812498272,0.23851628186810478,0.00032748334235298564,9016.516128095254,430464.0,Moderate Priority,BRT Candidate
Gulfton / Holman,0.45507167893083034,0.23479833031336605,0.19971975462364452,0.06431053732302482,6684.3874202734805,1710792.0,Moderate Priority,BRT Candidate
West Bellfort,0.4523200764852063,0.5341448608406147,0.1093252845125063,0.030387066555168804,9795.598247268646,483380.0,Moderate Priority,BRT Candidate
Gulfton Circulator,0.446748168705443,0.10740081550375846,0.25351438734492887,0.0,9231.757559787453,213718.0,Moderate Priority,Enhanced Bus Service
Gulfton Circulator,0.4410530345606848,0.08841703502123113,0.25351438734492887,0.0,9231.757559787453,213718.0,Moderate Priority,Enhanced Bus Service
Dairy Ashford,0.4386639962770659,0.14534882768645593,0.10594532626162856,0.0,23975.963487035377,446684.0,Moderate Priority,Enhanced Bus Service
Braeswood,0.43807198267637343,0.2502026240107109,0.14853347823357627,0.04405821545523743,10131.251135880604,1375516.0,Moderate Priority,Enhanced Bus Service
Westpark Express,0.4366717748660881,0.10941648263461219,0.16915438899877208,0.0646660810350625,9196.29662134589,2231736.0,Moderate Priority,Enhanced Bus Service
Bellfort,0.43075693359403333,0.6230455906829218,0.11216560903714176,0.04819479468029804,5037.630312147876,349592.0,Moderate Priority,Enhanced Bus Service
Ella - FM 1960,0.4295498952248542,0.24300012319811287,0.08172566710042559,0.0005075566176012771,17336.18443460549,781904.0,Moderate Priority,Enhanced Bus Service
Wilcrest Express,0.41790240303202886,0.2612903494779227,0.11567657004987549,0.043165039012623,13078.538332415708,1107176.0,Moderate Priority,Enhanced Bus Service
Chimney Rock / S Post Oak,0.41428985132455687,0.25695147011067887,0.110136920883788,0.00026623645771445015,9129.931938821419,863088.0,Moderate Priority,Enhanced Bus Service
West Airport,0.39229652721102787,0.2020491815424423,0.11633299638659982,0.0005961876232579995,9773.165110681304,618752.0,Moderate Priority,Enhanced Bus Service
Bush IAH Express,0.39003809400242767,0.21334504365264817,0.10263298578409165,0.08695056989966257,7198.542472527643,2336432.0,Moderate Priority,Enhanced Bus Service
Airline / Montrose,0.3700848482305693,0.32973625592464295,0.11020801586953966,0.09379274692212472,6188.8753880939375,1467104.0,Moderate Priority,Enhanced Bus Service
Sagemont,0.36750445316139635,0.1064941865258846,0.10817560148643579,0.0,13364.718282841573,430012.0,Moderate Priority,Enhanced Bus Service
Hammerly,0.364390872140272,0.10590678910675881,0.08774649235819278,0.0,15575.937530545747,440816.0,Moderate Priority,Enhanced Bus Service
Tidwell,0.35603386347068694,0.32626183105519496,0.06484667727695588,0.0382939023015365,8779.663099586445,731680.0,Moderate Priority,Enhanced Bus Service
Westview,0.3482334254816811,0.07624462027241635,0.08319781380917964,0.0,15584.63056576716,374828.0,Low Priority,Enhanced Bus Service
Long Point / Cavalcade,0.3397504419106976,0.23509996076710343,0.08705451080317882,0.043167477050304215,9125.01761299769,659462.0,Low Priority,Enhanced Bus Service
Veterans Memorial,0.3385148695138611,0.15845990314260638,0.08666000932539451,0.0382757247013197,11460.04254867041,738052.0,Low Priority,Enhanced Bus Service
Kuykendahl Shuttle,0.33662902939858014,0.022558274255431304,0.08314679766500074,0.0,17874.703524144395,224448.0,Low Priority,Enhanced Bus Service
Acres Homes,0.336324409560474,0.1658720878864814,0.08078804631893859,0.07531177623280039,10234.767060586782,1451554.0,Low Priority,Enhanced Bus Service
Katy Freeway,0.3359244139669919,0.033220771194453186,0.06976847518553866,0.0,17274.69438864714,402946.0,Low Priority,Enhanced Bus Service
Memorial,0.33434998099964125,0.025364057995863,0.08525239355061116,0.0,14955.72495875542,433992.0,Low Priority,Enhanced Bus Service
Kempwood,0.3324596256300431,0.23718853290699163,0.08218956624514208,0.04506136991944891,8726.723782309466,657230.0,Low Priority,Enhanced Bus Service
Jensen / Greens,0.3272379388378395,0.26311053339903195,0.08964664614243899,0.0645023229800313,7740.817346582196,729338.0,Low Priority,Enhanced Bus Service
