stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id,route_ids,route_names,route_types
29.71098,0,2230,-95.36193,,,,TIERWESTER ST & N MAC GREGOR WAY,Tierwester St @ N Mac Gregor Way,0,2230_merged_11814548,,5,5,3
29.67733,0,6972,-95.490065,,,,N BRAESWOOD BLVD & PONTIAC DR,Braeswood Blvd @ Pontiac Dr,0,6972,,68,68,3
29.810142,0,11546,-95.471807,,,,HEMPSTEAD RD & FAIRWAY PARK DR,Hempstead Rd @ Fairway Park Dr Mb,0,11546,,"58,85","58,85",3
29.809963,0,11547,-95.471925,,,,HEMPSTEAD RD & ANTOINE DR,Hempstead Rd @ Antoine Dr,0,11547,,"58,85","58,85",3
29.802517,0,11545,-95.509738,,,,LONG POINT RD & SPRING BRANCH RD,Long Point Rd @ Spring Branch Rd,0,11545,,26,26,3
29.794996,0,11548,-95.485978,,,,WESTVIEW DR & WIRT RD,Westview Dr @ Wirt Rd,0,11548,,72,72,3
29.792454,0,11549,-95.457125,,,,N POST OAK RD & CLARKSON LN,N Post Oak Rd @ Clarkson Ln,0,11549,,"58,66,85,89","58,66,85,89",3
29.70561,0,5988,-95.461117,,,,BELLAIRE BLVD & 1ST ST,Bellaire Blvd @ 1st St,0,5988,,2,2,3
29.70594,0,5989,-95.461119,,,,BELLAIRE BLVD & W LOOP S,Bellaire Blvd @ W Loop S,0,5989,,2,2,3
29.705433,0,5982,-95.48124,,,,BELLAIRE BLVD & ALDER DR,Bellaire Blvd @ Alder Dr,0,5982,,"2,310","2,310",3
29.705454,0,5983,-95.478845,,,,BELLAIRE BLVD & CHETWOOD DR,Bellaire Blvd @ Chetwood Dr,0,5983,,"2,310","2,310",3
29.705393,0,5980,-95.485032,,,,BELLAIRE BLVD & RENWICK DR,Bellaire Blvd @ Renwick Dr,0,5980,,"2,310","2,310",3
29.705413,0,5981,-95.482666,,,,BELLAIRE BLVD & ATWELL DR,Bellaire Blvd @ Atwell Dr,0,5981,,"2,310","2,310",3
29.705516,0,5986,-95.472643,,,,BELLAIRE BLVD & BISSONNET ST,Bellaire Blvd @ Bissonnet St,0,5986,,"2,310,49","2,310,49",3
29.705469,0,5987,-95.463776,,,,BELLAIRE BLVD & 2ND ST,Bellaire Blvd @ 2nd St,0,5987,,2,2,3
29.705479,0,5984,-95.476578,,,,BELLAIRE BLVD & CHIMNEY ROCK RD,Bellaire Blvd @ Chimney Rock Rd,0,5984,,"2,310","2,310",3
29.705484,0,5985,-95.475635,,,,BELLAIRE BLVD & CHIMNEY ROCK RD,Bellaire Blvd @ Chimney Rock Rd,0,5985,,49,49,3
29.743764,1,25062,-95.330146,,,,LOCKWOOD EASTWOOD WB,Lockwood / Eastwood WB,0,25062,,"800,900","800,900",0
